# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-1940"			
"# Timestamp: Mon, 08-Jan-2024 16:00:09"			
Gene ID	Gene Name	NMIBC' vs 'normal' .foldChange	NMIBC' vs 'normal'.pValue
ENSG00000147854	UHRF2	0.2	0.262281545
ENSG00000147862	NFIB	1.1	0.014158811
ENSG00000147872	PLIN2	1.5	4.37E-10
ENSG00000147874	HAUS6	0.9	0.009457409
ENSG00000147883	CDKN2B	1.1	0.022348758
ENSG00000147889	CDKN2A	0.6	0.146365261
ENSG00000147894	C9orf72	-0.5	0.010451737
ENSG00000147896	IFNK	0.3	0.786361725
ENSG00000147905	ZCCHC7	0.4	0.145629582
ENSG00000147912	FBXO10	-0.5	0.182679443
ENSG00000147955	SIGMAR1	-0.2	0.456308924
ENSG00000147996	CBWD5	-0.7	0.021496892
ENSG00000148019	CEP78	0.7	0.007995159
ENSG00000148053	NTRK2	0.8	0.071320884
ENSG00000148057	IDNK	0.3	0.240611515
ENSG00000148082	SHC3	-0.5	0.005601375
ENSG00000148090	AUH	-0.6	0.002171454
ENSG00000148110	MFSD14B	0.7	0.032161615
ENSG00000148120	AOPEP	0.4	0.10370456
ENSG00000148123	PLPPR1	1.7	1.56E-05
ENSG00000148143	ZNF462	1.2	1.02E-05
ENSG00000148153	INIP	-0.2	0.599340589
ENSG00000148154	UGCG	-0.8	5.12E-04
ENSG00000148158	SNX30	0.1	0.629666323
ENSG00000148175	STOM	1.6	1.81E-04
ENSG00000148180	GSN	0.9	3.91E-04
ENSG00000148187	MRRF	-0.2	0.231923391
ENSG00000148200	NR6A1	0.4	0.091763859
ENSG00000148204	CRB2	1	1.35E-04
ENSG00000148218	ALAD	0.8	9.54E-07
ENSG00000148219	ASTN2	-0.1	0.586199426
ENSG00000148225	WDR31	-0.2	0.566426515
ENSG00000148229	POLE3	-0.3	0.116488833
ENSG00000148248	SURF4	0.1	0.769111967
ENSG00000148288	GBGT1	1.1	0.007352339
ENSG00000148290	SURF1	0.4	0.167894119
ENSG00000148291	SURF2	-0.6	0.040333614
ENSG00000148303	RPL7A	0.1	0.800678796
ENSG00000148308	GTF3C5	0.2	0.468884342
ENSG00000148331	ASB6	-0.3	0.21855732
ENSG00000148334	PTGES2	-1	0.003754559
ENSG00000148335	NTMT1	-0.9	0.004805543
ENSG00000148339	SLC25A25	-1	0.001274671
ENSG00000148341	SH3GLB2	-0.2	0.203653359
ENSG00000148343	MIGA2	-0.4	0.063610699
ENSG00000148344	PTGES	-0.7	0.046626364
ENSG00000148356	LRSAM1	-0.5	0.175409153
ENSG00000148357	HMCN2	0.2	0.713068335
ENSG00000148358	GPR107	0.2	0.284094126
ENSG00000148362	PAXX	0.2	0.60982908
ENSG00000148384	INPP5E	-0.2	0.358301288
ENSG00000148396	SEC16A	-0.3	0.032166314
ENSG00000148400	NOTCH1	1	0.002693801
ENSG00000148408	CACNA1B	-1.1	0.008449899
ENSG00000148411	NACC2	1.1	2.52E-05
ENSG00000148426	PROSER2	0.2	0.772678075
ENSG00000148429	USP6NL	0.1	0.642910252
ENSG00000148444	COMMD3	0.2	0.582883341
ENSG00000148450	MSRB2	0.2	0.437477158
ENSG00000148459	PDSS1	-0.2	0.559374294
ENSG00000148481	MINDY3	-0.2	0.570424695
ENSG00000148482	SLC39A12	1	0.183987292
ENSG00000148483	TMEM236	1.4	0.026930015
ENSG00000148484	RSU1	0.8	3.26E-04
ENSG00000148488	ST8SIA6	0.4	0.456850562
ENSG00000148498	PARD3	1.5	3.04E-07
ENSG00000148516	ZEB1	0.7	0.051935108
ENSG00000148541	FAM13C	0.2	0.566578826
ENSG00000148572	NRBF2	-0.5	0.020427187
ENSG00000148600	CDHR1	-0.1	0.844750659
ENSG00000148604	RGR	0.6	0.511150054
ENSG00000148606	POLR3A	-0.9	0.007356018
ENSG00000148634	HERC4	0.4	0.15467837
ENSG00000148655	LRMDA	0.8	0.015306719
ENSG00000148660	CAMK2G	-0.7	7.95E-11
ENSG00000148672	GLUD1	1.2	0.008143516
ENSG00000148677	ANKRD1	0.1	0.924607945
ENSG00000148680	HTR7	-0.2	0.853813136
ENSG00000148688	RPP30	-0.1	0.447621086
ENSG00000148690	FRA10AC1	0.5	0.290382763
ENSG00000148700	ADD3	1.4	0.003371839
ENSG00000148702	HABP2	-0.9	0.07549013
ENSG00000148704	VAX1	-1	0.033189345
ENSG00000148719	DNAJB12	-0.1	0.842729072
ENSG00000148730	EIF4EBP2	0.8	0.009741838
ENSG00000148734	NPFFR1	1.1	0.011469254
ENSG00000148735	PLEKHS1	-0.5	0.590827795
ENSG00000148737	TCF7L2	0.7	0.056983939
ENSG00000148773	MKI67	2.5	7.34E-04
ENSG00000148795	CYP17A1	0.1	0.894632806
ENSG00000148798	INA	-2	9.16E-06
ENSG00000148803	FUOM	0.4	0.38816384
ENSG00000148814	LRRC27	-0.4	0.141406994
ENSG00000148824	MTG1	0.2	0.516338883
ENSG00000148826	NKX6-2	1.1	0.004538115
ENSG00000148834	GSTO1	-0.5	0.012150537
ENSG00000148835	TAF5	-0.1	0.645500926
ENSG00000148840	PPRC1	-0.1	0.776207073
ENSG00000148841	ITPRIP	1.4	3.26E-07
ENSG00000148842	CNNM2	-0.6	1.50E-05
ENSG00000148843	PDCD11	-0.2	0.626276279
ENSG00000148848	ADAM12	1.1	0.00158073
ENSG00000148908	RGS10	0.7	0.231824604
ENSG00000148925	BTBD10	-1.2	4.64E-07
ENSG00000148926	ADM	1.8	0.001208305
ENSG00000148935	GAS2	0.3	0.47085436
ENSG00000148942	SLC5A12	0.9	0.108876642
ENSG00000148943	LIN7C	0.4	0.364017888
ENSG00000148948	LRRC4C	-0.2	0.329388826
ENSG00000148950	IMMP1L	0.1	0.843175364
ENSG00000148985	PGAP2	0.4	0.01420387
ENSG00000149016	TUT1	0.4	0.117403373
ENSG00000149021	SCGB1A1	-0.3	0.750981718
ENSG00000149050	ZNF214	-0.3	0.577376829
ENSG00000149054	ZNF215	-1.5	1.78E-04
ENSG00000149084	HSD17B12	0.7	0.145019479
ENSG00000149089	APIP	0.4	0.243468701
ENSG00000149090	PAMR1	0.6	0.261831331
ENSG00000149091	DGKZ	-0.8	0.039875848
ENSG00000149100	EIF3M	-0.1	0.634356776
ENSG00000149115	TNKS1BP1	-0.2	0.562926286
ENSG00000149131	SERPING1	0.4	0.343307995
ENSG00000149136	SSRP1	-0.2	0.385364866
ENSG00000149150	SLC43A1	-0.1	0.770694252
ENSG00000149177	PTPRJ	0.2	0.133740077
ENSG00000149179	C11orf49	-0.5	0.059592675
ENSG00000149182	ARFGAP2	-0.3	0.163795962
ENSG00000149187	CELF1	0.3	0.135922171
ENSG00000149196	HIKESHI	-0.2	0.398165581
ENSG00000149201	CCDC81	0.4	0.550872995
ENSG00000149212	SESN3	0.5	0.185414389
ENSG00000149218	ENDOD1	0.2	0.571246688
ENSG00000149231	CCDC82	0.4	0.296241364
ENSG00000149243	KLHL35	-0.9	0.007941957
ENSG00000149256	TENM4	-0.8	1.32E-04
ENSG00000149257	SERPINH1	2.1	2.09E-11
ENSG00000149260	CAPN5	-0.4	0.306560389
ENSG00000149262	INTS4	0.4	0.078596995
ENSG00000149269	PAK1	-1.7	3.48E-04
ENSG00000149273	RPS3	0.6	0.006768976
ENSG00000149289	ZC3H12C	0.7	0.085397548
ENSG00000149294	NCAM1	0.2	0.212144259
ENSG00000149295	DRD2	-0.5	0.227954556
ENSG00000149305	HTR3B	-2.2	2.18E-05
ENSG00000149311	ATM	0.9	9.12E-04
ENSG00000149313	AASDHPPT	-0.6	0.004208579
ENSG00000149328	GLB1L2	-0.9	6.96E-04
ENSG00000149346	SLX4IP	0.8	0.004857267
ENSG00000149357	LAMTOR1	0.2	0.196233978
ENSG00000149380	P4HA3	0.6	0.364098386
ENSG00000149403	GRIK4	0.2	0.447117069
ENSG00000149418	ST14	1	0.177524853
ENSG00000149428	HYOU1	-0.6	0.147212371
ENSG00000149451	ADAM33	0.8	0.03756865
ENSG00000149452	SLC22A8	0.4	0.54751711
ENSG00000149474	KAT14	-0.4	0.031035193
ENSG00000149476	TKFC	-0.1	0.787483838
ENSG00000149480	MTA2	0.6	5.84E-05
ENSG00000149483	TMEM138	0.2	0.209943207
ENSG00000149485	FADS1	0.7	0.091268279
ENSG00000149488	TMC2	1.5	2.25E-04
ENSG00000149489	ROM1	1.8	4.42E-11
ENSG00000149499	EML3	1.4	3.23E-07
ENSG00000149503	INCENP	-0.6	0.031137245
ENSG00000149527	PLCH2	-0.4	0.359697777
ENSG00000149531	FRG1BP	-0.1	0.889202907
ENSG00000149532	CPSF7	0.2	0.316873622
ENSG00000149541	B3GAT3	-0.4	0.228724359
ENSG00000149548	CCDC15	0.9	0.096207281
ENSG00000149554	CHEK1	0.4	0.286806586
ENSG00000149557	FEZ1	0.3	0.294856978
ENSG00000149564	ESAM	0.4	0.155544031
ENSG00000149571	KIRREL3	-0.7	0.059441717
ENSG00000149573	MPZL2	2.5	2.62E-14
ENSG00000149575	SCN2B	-1.6	9.51E-05
ENSG00000149577	SIDT2	0.3	0.137482765
ENSG00000149582	TMEM25	-1	2.71E-04
ENSG00000149591	TAGLN	0.3	0.288680283
ENSG00000149596	JPH2	1.3	0.018429163
ENSG00000149599	DUSP15	-0.2	0.574571145
ENSG00000149600	COMMD7	-0.3	0.171117257
ENSG00000149609	C20orf144	-0.3	0.602021786
ENSG00000149633	KIAA1755	0.9	0.009957756
ENSG00000149634	SPATA25	-0.1	0.86964239
ENSG00000149636	DSN1	-0.6	0.079798779
ENSG00000149639	SOGA1	0.6	0.020645034
ENSG00000149646	CNBD2	-0.9	0.233420136
ENSG00000149654	CDH22	-2	1.13E-05
ENSG00000149656	LINC00266-1	-2	0.007714282
ENSG00000149657	LSM14B	-0.7	6.46E-04
ENSG00000149658	YTHDF1	0.3	0.193431638
ENSG00000149679	CABLES2	-0.7	5.43E-04
ENSG00000149716	LTO1	-0.2	0.496981293
ENSG00000149742	SLC22A9	-0.5	0.24745798
ENSG00000149743	TRPT1	-0.1	0.756472256
ENSG00000149761	NUDT22	-0.3	0.274106627
ENSG00000149781	FERMT3	1.2	0.038515468
ENSG00000149782	PLCB3	1	0.005103483
ENSG00000149792	MRPL49	-0.3	0.34172185
ENSG00000149798	CDC42EP2	0.4	0.659216476
ENSG00000149806	FAU	0.2	0.426554862
ENSG00000149809	TM7SF2	-0.4	0.027551648
ENSG00000149823	VPS51	-0.3	0.51407234
ENSG00000149922	TBX6	1.8	1.37E-13
ENSG00000149923	PPP4C	0.1	0.726614018
ENSG00000149925	ALDOA	-0.9	0.02091163
ENSG00000149926	TLCD3B	-0.9	0.122992704
ENSG00000149927	DOC2A	-1.4	0.020383278
ENSG00000149929	HIRIP3	0.3	0.019952356
ENSG00000149930	TAOK2	-0.3	0.270837652
ENSG00000149932	TMEM219	0.4	0.010567195
ENSG00000149968	MMP3	-0.9	0.240226676
ENSG00000149970	CNKSR2	-1.1	1.19E-06
ENSG00000149972	CNTN5	-1.8	2.77E-12
ENSG00000150045	KLRF1	-0.5	0.56217642
ENSG00000150048	CLEC1A	2.1	2.13E-08
ENSG00000150051	MKX	-1.1	0.001901536
ENSG00000150054	MPP7	-1.3	6.62E-05
ENSG00000150093	ITGB1	1.2	0.002702291
ENSG00000150175	FRMPD2B	-1.1	0.188875661
ENSG00000150201	FXYD4	0.4	0.46250493
ENSG00000150275	PCDH15	2.4	1.13E-07
ENSG00000150281	CTF1	0.6	0.132990733
ENSG00000150337	FCGR1A	2	0.003755824
ENSG00000150347	ARID5B	0.4	0.193755353
ENSG00000150361	KLHL1	1.2	0.001230901
ENSG00000150394	CDH8	-1.1	9.67E-06
ENSG00000150401	DCUN1D2	-0.6	4.41E-05
ENSG00000150403	TMCO3	0.6	0.018590217
ENSG00000150433	TMEM218	1	3.82E-06
ENSG00000150455	TIRAP	-0.3	0.357034514
ENSG00000150456	EEF1AKMT1	0.2	0.461630827
ENSG00000150457	LATS2	1.9	1.55E-04
ENSG00000150459	SAP18	0.6	0.027717377
ENSG00000150471	ADGRL3	0.2	0.569833213
ENSG00000150477	KIAA1328	0.8	0.005204125
ENSG00000150510	FAM124A	0.9	0.003258923
ENSG00000150527	MIA2	-0.1	0.42514299
ENSG00000150540	HNMT	0.5	0.021332512
ENSG00000150551	LYPD1	1.2	0.001375401
ENSG00000150556	LYPD6B	-0.8	0.035281942
ENSG00000150593	PDCD4	0.4	0.058929889
ENSG00000150594	ADRA2A	-0.2	0.627607177
ENSG00000150627	WDR17	-0.6	3.04E-06
ENSG00000150628	SPATA4	0.3	0.629322245
ENSG00000150630	VEGFC	1.6	1.89E-04
ENSG00000150636	CCDC102B	0.7	0.025426452
ENSG00000150637	CD226	1.1	0.004395246
ENSG00000150656	CNDP1	0.4	0.547995384
ENSG00000150667	FSIP1	-1.4	0.001544396
ENSG00000150672	DLG2	-0.3	0.178014771
ENSG00000150681	RGS18	2.2	8.91E-05
ENSG00000150687	PRSS23	0.1	0.785904498
ENSG00000150753	CCT5	-0.4	0.302779622
ENSG00000150756	ATPSCKMT	0.4	0.288276425
ENSG00000150760	DOCK1	1.5	5.16E-05
ENSG00000150764	DIXDC1	0.6	0.008244107
ENSG00000150768	DLAT	-0.4	0.020971697
ENSG00000150773	PIH1D2	0.2	0.626604095
ENSG00000150776	NKAPD1	0.1	0.773623779
ENSG00000150779	TIMM8B	0.1	0.775767267
ENSG00000150782	IL18	1.3	0.035221544
ENSG00000150787	PTS	-0.3	0.347133937
ENSG00000150867	PIP4K2A	1.4	1.00E-04
ENSG00000150873	C2orf50	-1.4	1.13E-05
ENSG00000150893	FREM2	1.2	0.066508952
ENSG00000150907	FOXO1	1	0.022422338
ENSG00000150938	CRIM1	0.4	0.061077859
ENSG00000150961	SEC24D	0.2	0.447457123
ENSG00000150967	ABCB9	-1.2	4.28E-12
ENSG00000150977	RILPL2	0.1	0.842204945
ENSG00000150990	DHX37	-0.1	0.880048555
ENSG00000150991	UBC	-0.4	0.205312359
ENSG00000150995	ITPR1	-1.4	7.73E-06
ENSG00000151005	TKTL2	-0.1	0.955710887
ENSG00000151006	PRSS53	-0.1	0.860766189
ENSG00000151012	SLC7A11	1	0.094295147
ENSG00000151014	NOCT	-0.2	0.336548779
ENSG00000151023	ENKUR	0.8	1.97E-04
ENSG00000151025	GPR158	-1.8	3.90E-15
ENSG00000151062	CACNA2D4	1.2	0.053806051
ENSG00000151065	DCP1B	-0.2	0.385758959
ENSG00000151067	CACNA1C	-0.9	0.001107672
ENSG00000151090	THRB	-0.5	0.04671908
ENSG00000151092	NGLY1	-0.1	0.536548356
ENSG00000151093	OXSM	-0.4	0.0974127
ENSG00000151116	UEVLD	0.5	0.124490198
ENSG00000151117	TMEM86A	-0.2	0.626343095
ENSG00000151131	C12orf45	-0.5	1.66E-04
ENSG00000151135	TMEM263	0.4	0.147200677
ENSG00000151136	BTBD11	-1.7	1.13E-07
ENSG00000151148	UBE3B	-0.2	0.226052496
ENSG00000151150	ANK3	-0.1	0.785693233
ENSG00000151151	IPMK	0.6	0.170886713
ENSG00000151164	RAD9B	1.1	0.044265434
ENSG00000151176	PLBD2	-0.8	3.78E-06
ENSG00000151208	DLG5	0.5	0.140535539
ENSG00000151229	SLC2A13	-1.1	2.72E-11
ENSG00000151233	GXYLT1	0.9	0.033876702
ENSG00000151239	TWF1	0.7	0.081075873
ENSG00000151247	EIF4E	-0.7	0.00284418
ENSG00000151276	MAGI1	-0.3	0.105784751
ENSG00000151287	TEX30	-0.3	0.247112241
ENSG00000151292	CSNK1G3	-0.2	0.50051778
ENSG00000151303	ENSG00000151303	1	0.227643807
ENSG00000151304	SRFBP1	0.1	0.863400175
ENSG00000151320	AKAP6	-0.7	1.56E-07
ENSG00000151322	NPAS3	1.6	7.67E-05
ENSG00000151327	FAM177A1	0.8	0.025627825
ENSG00000151338	MIPOL1	0.3	0.505348032
ENSG00000151348	EXT2	-0.3	0.035544872
ENSG00000151353	TMEM18	-0.2	0.498156782
ENSG00000151360	ALLC	-2.5	3.08E-04
ENSG00000151364	KCTD14	0.4	0.563455627
ENSG00000151365	THRSP	-0.8	0.27867753
ENSG00000151366	NDUFC2	-0.8	1.71E-06
ENSG00000151376	ME3	-1	0.004677696
ENSG00000151388	ADAMTS12	1	0.153037601
ENSG00000151413	NUBPL	0.2	0.531482163
ENSG00000151414	NEK7	2	1.30E-05
ENSG00000151422	FER	0.8	0.014571306
ENSG00000151458	ANKRD50	-0.4	0.017380353
ENSG00000151461	UPF2	0.3	0.135655565
ENSG00000151465	CDC123	-0.5	0.007640615
ENSG00000151466	SCLT1	-0.5	0.12068167
ENSG00000151468	CCDC3	-0.8	0.002637435
ENSG00000151470	C4orf33	0.1	0.843359097
ENSG00000151474	FRMD4A	-0.2	0.51682342
ENSG00000151490	PTPRO	-0.9	0.033463136
ENSG00000151491	EPS8	1.3	6.72E-05
ENSG00000151498	ACAD8	-0.3	0.260258952
ENSG00000151500	THYN1	-0.6	9.21E-04
ENSG00000151502	VPS26B	-0.6	0.009067637
ENSG00000151503	NCAPD3	0.2	0.227102675
ENSG00000151532	VTI1A	-0.2	0.257199203
ENSG00000151552	QDPR	0.5	0.225280688
ENSG00000151553	FAM160B1	-0.4	0.051007327
ENSG00000151572	ANO4	0.3	0.514835169
ENSG00000151575	TEX9	0.5	0.302031027
ENSG00000151611	MMAA	0.4	0.117118297
ENSG00000151612	ZNF827	0.3	0.04543311
ENSG00000151617	EDNRA	0.4	0.472749313
ENSG00000151623	NR3C2	-0.3	0.327231285
ENSG00000151632	AKR1C2	-0.5	0.352442423
ENSG00000151640	DPYSL4	-0.6	0.083942122
ENSG00000151650	VENTX	1.3	0.066958679
ENSG00000151651	ADAM8	0.2	0.477482057
ENSG00000151655	ITIH2	-0.4	0.277220616
ENSG00000151657	KIN	-0.2	0.389663437
ENSG00000151665	PIGF	0.6	0.004498871
ENSG00000151687	ANKAR	1	0.016720523
ENSG00000151689	INPP1	0.5	0.021535758
ENSG00000151690	MFSD6	-0.4	0.084388458
ENSG00000151692	RNF144A	0.4	0.096641019
ENSG00000151693	ASAP2	-0.4	0.104780903
ENSG00000151694	ADAM17	-0.2	0.490642397
ENSG00000151702	FLI1	1	0.001829636
ENSG00000151704	KCNJ1	-0.5	0.578781177
ENSG00000151715	TMEM45B	-0.5	0.34454607
ENSG00000151718	WWC2	0.5	0.013251058
ENSG00000151725	CENPU	0.6	0.249880592
ENSG00000151726	ACSL1	0.9	0.004055525
ENSG00000151729	SLC25A4	-1.2	1.14E-05
ENSG00000151743	AMN1	-0.7	4.25E-04
ENSG00000151746	BICD1	-0.3	0.042060667
ENSG00000151748	SAV1	0.5	0.126945456
ENSG00000151773	CCDC122	0.2	0.648038083
ENSG00000151778	SERP2	-1.1	2.01E-06
ENSG00000151779	NBAS	-0.4	0.023903796
ENSG00000151789	ZNF385D	-1.3	3.76E-06
ENSG00000151790	TDO2	-0.5	0.427983997
ENSG00000151806	GUF1	-0.1	0.607512003
ENSG00000151812	SLC35F4	-0.9	0.100283514
ENSG00000151834	GABRA2	0.4	0.450727974
ENSG00000151835	SACS	-0.6	8.97E-04
ENSG00000151838	CCDC175	1.1	0.111140361
ENSG00000151846	PABPC3	0.8	0.040303434
ENSG00000151849	CENPJ	-0.3	0.36794334
ENSG00000151876	FBXO4	0.6	0.112406546
ENSG00000151881	TMEM267	-0.1	0.828276457
ENSG00000151882	CCL28	-0.3	0.553960689
ENSG00000151883	PARP8	-0.1	0.737272899
ENSG00000151892	GFRA1	0.8	0.088100832
ENSG00000151893	CACUL1	-0.2	0.085501717
ENSG00000151914	DST	0.8	6.11E-04
ENSG00000151917	BEND6	-1.1	9.50E-06
ENSG00000151923	TIAL1	0.5	0.092651916
ENSG00000151929	BAG3	2.1	9.04E-06
ENSG00000151948	GLT1D1	-1.7	5.18E-05
ENSG00000151952	TMEM132D	-1.1	0.008192969
ENSG00000151967	SCHIP1	0.1	0.805378251
ENSG00000152034	MCHR2	-1.7	0.001606013
ENSG00000152049	KCNE4	2.4	2.11E-06
ENSG00000152056	AP1S3	-1	0.002045736
ENSG00000152061	RABGAP1L	-0.3	0.042348405
ENSG00000152076	CCDC74B	-0.5	0.228724359
ENSG00000152078	TLCD4	0.1	0.784444386
ENSG00000152082	MZT2B	-0.3	0.318887454
ENSG00000152092	ASTN1	-0.3	0.028852659
ENSG00000152102	FAM168B	-0.3	0.120835775
ENSG00000152104	PTPN14	0.2	0.404174543
ENSG00000152117	SMPD4BP	-0.4	0.036755805
ENSG00000152127	MGAT5	-0.4	0.011031332
ENSG00000152128	TMEM163	-0.5	0.154402343
ENSG00000152133	GPATCH11	0.1	0.664495046
ENSG00000152137	HSPB8	0.9	1.22E-04
ENSG00000152147	GEMIN6	-0.2	0.393591086
ENSG00000152154	TMEM178A	-0.3	0.234211424
ENSG00000152192	POU4F1	2.1	0.006828346
ENSG00000152193	OBI1	-0.6	0.036117757
ENSG00000152207	CYSLTR2	1.2	0.007154808
ENSG00000152208	GRID2	0.9	0.011564377
ENSG00000152213	ARL11	1.1	0.169648802
ENSG00000152214	RIT2	-1.3	8.24E-07
ENSG00000152217	SETBP1	-0.4	0.005870437
ENSG00000152219	ARL14EP	-0.5	0.013704667
ENSG00000152223	EPG5	0.1	0.465411347
ENSG00000152229	PSTPIP2	1.1	0.006327918
ENSG00000152234	ATP5F1A	-0.8	5.32E-06
ENSG00000152240	HAUS1	0.4	0.06378204
ENSG00000152242	C18orf25	-0.1	0.71637056
ENSG00000152253	SPC25	0.9	0.137257395
ENSG00000152256	PDK1	-0.5	0.088508089
ENSG00000152270	PDE3B	0.2	0.770507731
ENSG00000152284	TCF7L1	1.2	7.41E-06
ENSG00000152291	TGOLN2	-0.1	0.786607839
ENSG00000152292	SH2D6	1.2	0.065412658
ENSG00000152315	KCNK13	0.8	0.225747412
ENSG00000152332	UHMK1	-0.2	0.460984345
ENSG00000152348	ATG10	-0.3	0.082134383
ENSG00000152359	POC5	0.6	0.057338271
ENSG00000152377	SPOCK1	0.1	0.769527451
ENSG00000152380	FAM151B	-0.1	0.765533123
ENSG00000152382	TADA1	-0.4	0.027574121
ENSG00000152402	GUCY1A2	-0.8	1.08E-05
ENSG00000152404	CWF19L2	1.2	7.17E-04
ENSG00000152409	JMY	0.4	0.327336632
ENSG00000152413	HOMER1	-1.3	4.83E-39
ENSG00000152422	XRCC4	0.5	0.206116452
ENSG00000152433	ZNF547	0.2	0.551091228
ENSG00000152439	ZNF773	-0.6	0.018780946
ENSG00000152443	ZNF776	-0.1	0.804504074
ENSG00000152454	ZNF256	-0.1	0.83908494
ENSG00000152455	SUV39H2	-0.2	0.430053579
ENSG00000152457	DCLRE1C	0.4	0.278770401
ENSG00000152463	OLAH	0.9	0.194833574
ENSG00000152464	RPP38	-0.2	0.44147702
ENSG00000152465	NMT2	-0.4	0.061675758
ENSG00000152467	ZSCAN1	-0.9	0.001307841
ENSG00000152475	ZNF837	-0.3	0.434546432
ENSG00000152484	USP12	0.2	0.477514928
ENSG00000152492	CCDC50	1.4	3.88E-05
ENSG00000152495	CAMK4	-1.3	5.19E-12
ENSG00000152503	TRIM36	-1	0.001217186
ENSG00000152518	ZFP36L2	1.6	3.40E-06
ENSG00000152520	PAN3	0.3	0.2939562
ENSG00000152527	PLEKHH2	1.5	9.70E-04
ENSG00000152556	PFKM	-0.8	2.23E-04
ENSG00000152558	TMEM123	1.3	0.001830302
ENSG00000152578	GRIA4	-1	1.32E-11
ENSG00000152580	IGSF10	0.1	0.926796341
ENSG00000152582	SPEF2	-0.7	0.007804142
ENSG00000152583	SPARCL1	0.3	0.247581001
ENSG00000152595	MEPE	-0.7	0.371670402
ENSG00000152601	MBNL1	0.1	0.658053148
ENSG00000152611	CAPSL	-0.2	0.785049818
ENSG00000152620	NADK2	0.9	0.019130025
ENSG00000152642	GPD1L	-0.6	0.00133792
ENSG00000152661	GJA1	1.4	0.026570688
ENSG00000152669	CCNO	-1.4	8.90E-04
ENSG00000152670	DDX4	-0.5	0.463053549
ENSG00000152683	SLC30A6	0.2	0.294645935
ENSG00000152684	PELO	-0.1	0.360370117
ENSG00000152689	RASGRP3	1.5	1.09E-04
ENSG00000152700	SAR1B	0.8	0.023813326
ENSG00000152705	CATSPER3	0.5	0.407652963
ENSG00000152749	GPR180	-0.1	0.77574723
ENSG00000152760	DYNLT5	-1.6	1.97E-09
ENSG00000152763	DNAI4	0.2	0.736993755
ENSG00000152766	ANKRD22	3.2	2.91E-06
ENSG00000152767	FARP1	0.5	0.055317348
ENSG00000152778	IFIT5	0.4	0.344382058
ENSG00000152779	SLC16A12	1.2	0.050357733
ENSG00000152782	PANK1	-0.7	1.55E-04
ENSG00000152784	PRDM8	-1.1	1.36E-04
ENSG00000152785	BMP3	-1.3	0.035951166
ENSG00000152795	HNRNPDL	0.1	0.781943609
ENSG00000152804	HHEX	1.3	2.62E-04
ENSG00000152818	UTRN	0.5	0.121753643
ENSG00000152822	GRM1	-1	0.005666738
ENSG00000152894	PTPRK	-0.1	0.464589172
ENSG00000152904	GGPS1	0.2	0.598207669
ENSG00000152910	CNTNAP4	0.8	0.032387015
ENSG00000152926	ZNF117	0.7	0.087535696
ENSG00000152931	PART1	-2.2	3.07E-12
ENSG00000152932	RAB3C	-1.4	9.86E-04
ENSG00000152939	MARVELD2	0.5	0.38333703
ENSG00000152942	RAD17	-0.2	0.130182338
ENSG00000152944	MED21	-0.1	0.711493893
ENSG00000152952	PLOD2	1.3	0.005740273
ENSG00000152953	STK32B	1.3	9.74E-06
ENSG00000152954	NRSN1	-1.2	1.54E-05
ENSG00000152969	JAKMIP1	-0.7	0.083174798
ENSG00000152977	ZIC1	0.8	0.136324855
ENSG00000152990	ADGRA3	1.2	0.037699622
ENSG00000153002	CPB1	0.9	0.27517974
ENSG00000153006	SREK1IP1	0.9	0.031109494
ENSG00000153012	LGI2	-1.5	5.97E-05
ENSG00000153015	CWC27	0.4	0.160775541
ENSG00000153029	MR1	0.7	0.0041312
ENSG00000153037	SRP19	-0.2	0.247791026
ENSG00000153046	CDYL	0.3	0.279051196
ENSG00000153048	CARHSP1	0.9	6.31E-04
ENSG00000153060	TEKT5	-1.2	0.079940842
ENSG00000153064	BANK1	-0.3	0.643332899
ENSG00000153066	TXNDC11	-0.1	0.584729705
ENSG00000153071	DAB2	0.4	0.060457987
ENSG00000153086	ACMSD	-0.2	0.799410638
ENSG00000153093	ACOXL	-0.9	0.298034551
ENSG00000153094	BCL2L11	0.7	0.006762705
ENSG00000153107	ANAPC1	-0.4	0.022390239
ENSG00000153113	CAST	0.1	0.69316186
ENSG00000153130	SCOC	-0.6	0.072034765
ENSG00000153132	CLGN	-1.9	2.56E-08
ENSG00000153140	CETN3	1.1	0.004756044
ENSG00000153147	SMARCA5	0.5	0.07218993
ENSG00000153157	SYCP2L	0.1	0.771881267
ENSG00000153162	BMP6	0.6	0.054542133
ENSG00000153179	RASSF3	-0.4	0.008672831
ENSG00000153187	HNRNPU	0.4	0.13603287
ENSG00000153201	RANBP2	-0.2	0.238392292
ENSG00000153207	AHCTF1	0.4	0.171739712
ENSG00000153208	MERTK	0.6	0.275922224
ENSG00000153214	TMEM87B	0.5	0.116488833
ENSG00000153233	PTPRR	-1	0.001929413
ENSG00000153234	NR4A2	0.8	0.153057493
ENSG00000153237	CCDC148	0.5	0.157835985
ENSG00000153246	PLA2R1	-1	1.19E-05
ENSG00000153250	RBMS1	0.5	0.125407895
ENSG00000153253	SCN3A	-0.1	0.644503123
ENSG00000153266	FEZF2	-0.2	0.626343095
ENSG00000153283	CD96	0.3	0.7100128
